Kod;Nazwa;Udzielone_Noclegi;Prognoza
411000;Powiat radziejowski;13788.0;10698.053333333333
412000;Powiat rypiński;6376.0;3793.826666666667
413000;Powiat sępoleński;39352.0;32119.513333333332
414000;Powiat świecki;100749.0;84056.78
415000;Powiat toruński;96416.0;90580.57333333333
416000;Powiat tucholski;90530.0;103306.86666666667
417000;Powiat wąbrzeski;13745.0;18424.02
418000;Powiat włocławski;407790.0;406109.25333333336
419000;Powiat żniński;204712.0;204670.48
461000;Powiat m. Bydgoszcz;543079.0;526275.52
462000;Powiat m. Grudziądz;107981.0;117630.36
463000;Powiat m. Toruń;568025.0;544343.6466666666
464000;Powiat m. Włocławek;83230.0;82868.51333333334
601000;Powiat bialski;146790.0;167941.04
602000;Powiat biłgorajski;24622.0;32848.36
603000;Powiat chełmski;14063.0;14014.426666666666
604000;Powiat hrubieszowski;31079.0;32179.326666666668
605000;Powiat janowski;34418.0;39805.50666666667
606000;Powiat krasnostawski;14813.0;16081.053333333333
607000;Powiat kraśnicki;0.0;4688.293333333333
608000;Powiat lubartowski;31778.0;43045.293333333335
609000;Powiat lubelski;102341.0;114689.34
610000;Powiat łęczyński;5504.0;17811.106666666667
611000;Powiat łukowski;10918.0;14384.566666666668
612000;Powiat opolski;35427.0;32150.053333333333
613000;Powiat parczewski;23760.0;25562.24
614000;Powiat puławski;627065.0;675215.38
615000;Powiat radzyński;5103.0;8418.513333333334
616000;Powiat rycki;0.0;11377.96
617000;Powiat świdnicki;29251.0;27294.446666666667
618000;Powiat tomaszowski;78394.0;84529.66666666667
619000;Powiat włodawski;80091.0;94190.50666666667
620000;Powiat zamojski;200040.0;211451.88
661000;Powiat m. Biała Podlaska;52707.0;59492.68
662000;Powiat m. Chełm;64037.0;74832.54666666666
663000;Powiat m. Lublin;639993.0;754898.6333333333
664000;Powiat m. Zamość;115801.0;135672.38
801000;Powiat gorzowski;56511.0;54546.66
802000;Powiat krośnieński;31443.0;39001.64
803000;Powiat międzyrzecki;108586.0;99867.02666666667
804000;Powiat nowosolski;74348.0;75234.67333333334
805000;Powiat słubicki;230484.0;286905.82
806000;Powiat strzelecko-drezdenecki;122132.0;92176.02
807000;Powiat sulęciński;108137.0;87064.94666666667
808000;Powiat świebodziński;236988.0;211797.31333333332
809000;Powiat zielonogórski;50377.0;53457.92
810000;Powiat żagański;20844.0;13445.92
811000;Powiat żarski;69580.0;51781.64
812000;Powiat wschowski;111996.0;96036.81333333334
861000;Powiat m. Gorzów Wielkopolski;109800.0;109299.74666666667
862000;Powiat m. Zielona Góra;135549.0;158809.44
1001000;Powiat bełchatowski;100161.0;103670.93333333333
1002000;Powiat kutnowski;38602.0;44850.5
1003000;Powiat łaski;36349.0;33062.333333333336
1004000;Powiat łęczycki;0.0;2747.5333333333333
1005000;Powiat łowicki;33131.0;36057.753333333334
1006000;Powiat łódzki wschodni;33216.0;32025.073333333334
1007000;Powiat opoczyński;14710.0;16652.073333333334
1008000;Powiat pabianicki;140602.0;148390.74666666667
1009000;Powiat pajęczański;27608.0;28564.293333333335
1010000;Powiat piotrkowski;109880.0;147924.90666666668
1011000;Powiat poddębicki;195536.0;207117.62666666668
1012000;Powiat radomszczański;49631.0;54506.62666666666
1013000;Powiat rawski;47587.0;46485.23333333333
1014000;Powiat sieradzki;60846.0;78749.87333333334
1015000;Powiat skierniewicki;5327.0;8861.28
1016000;Powiat tomaszowski;212951.0;210308.86666666667
1017000;Powiat wieluński;67733.0;81263.33333333333
1018000;Powiat wieruszowski;21281.0;15173.586666666666
1019000;Powiat zduńskowolski;27061.0;30537.353333333333
1020000;Powiat zgierski;95987.0;131038.39333333333
1021000;Powiat brzeziński;20659.0;16654.433333333334
1061000;Powiat m. Łódź;1134329.0;1076691.1133333333
1062000;Powiat m. Piotrków Trybunalski;60386.0;50403.1
