"Kod";"Nazwa";"ogółem;1999;[ha]";"ogółem;2000;[ha]";"ogółem;2001;[ha]";"ogółem;2002;[ha]";"ogółem;2003;[ha]";"ogółem;2004;[ha]";"ogółem;2005;[ha]";"ogółem;2006;[ha]";"ogółem;2007;[ha]";"ogółem;2008;[ha]";"ogółem;2009;[ha]";"ogółem;2010;[ha]";"ogółem;2011;[ha]";"ogółem;2012;[ha]";"ogółem;2013;[ha]";"ogółem;2014;[ha]";"ogółem;2015;[ha]";"ogółem;2016;[ha]";"ogółem;2017;[ha]";"ogółem;2018;[ha]";"ogółem;2019;[ha]";"ogółem;2020;[ha]";"ogółem;2021;[ha]";"ogółem;2022;[ha]";"ogółem;2023;[ha]";"ogółem;2024;[ha]";
0612000;"Powiat opolski";;16920,3;18315,4;18314,2;18350,2;18341,9;18404,3;18372,8;18397,4;18426,6;18448,5;18451,2;18474,7;18487,4;18499,61;18511,11;18519,32;18519,49;18545,82;18573,74;18571,12;19851,45;19797,21;19350,04;18172,48;18152,91;
0613000;"Powiat parczewski";;23712,1;23925,0;24145,1;24173,5;24131,5;24238,9;24382,0;24424,5;24421,1;24556,8;24780,9;24790,0;23795,3;23515,48;23869,98;23941,23;23996,26;24018,46;24043,35;24050,41;24076,57;24164,97;24213,20;24216,79;24220,78;
0614000;"Powiat puławski";;21468,5;22610,9;22641,0;22761,5;22761,4;23127,5;23162,8;23411,3;22864,4;23100,5;23103,9;23112,0;23162,2;23133,40;23430,50;23441,46;23410,15;23497,98;24223,17;24257,06;24270,80;24228,07;24305,67;24318,39;24324,20;
0615000;"Powiat radzyński";;19677,8;19726,4;19805,7;19898,9;20033,8;20164,4;20179,0;20396,4;20445,0;20554,9;20663,0;20673,7;20742,2;20722,44;20738,79;20915,81;20882,36;20892,27;20897,54;20905,65;20914,06;20921,28;20990,19;21003,78;20944,19;
0616000;"Powiat rycki";;12522,2;12838,8;13173,4;13186,4;13156,4;13176,6;13352,2;13357,5;13361,5;13316,3;13314,3;13295,5;13299,9;13272,33;13264,11;13454,15;13430,07;13711,75;13735,13;13731,25;13751,62;13823,09;13774,74;13795,22;13790,60;
0617000;"Powiat świdnicki";;5392,6;5215,2;5181,1;5181,4;5156,2;5179,7;5179,7;5180,6;5185,2;5241,2;5244,1;5341,4;5315,1;5314,75;5334,68;5337,69;5337,76;5339,02;5338,86;5344,01;5344,81;5381,75;5392,71;5389,07;5374,20;
0618000;"Powiat tomaszowski";;32141,7;32278,0;32316,0;32311,2;32321,4;32335,3;32373,4;32430,4;32423,5;32653,6;32884,3;32899,4;32948,1;33015,61;33292,45;33149,56;33209,22;33251,64;33262,64;33265,20;33276,99;33287,88;33421,14;33419,04;33427,88;
0619000;"Powiat włodawski";;49044,4;49068,5;49060,9;49363,1;49315,0;49384,8;49557,5;49672,4;49776,2;50297,7;50313,8;50519,9;51016,5;51568,19;51751,34;51810,37;51859,28;51865,91;52097,16;52190,17;52199,90;52227,76;52228,43;52300,84;52382,00;
0620000;"Powiat zamojski";;39753,6;39740,1;39900,5;40093,6;39977,7;40426,2;40511,8;40784,1;41034,0;42054,7;42289,0;42902,0;43443,4;43038,36;43898,05;43955,16;44091,74;44109,61;44114,87;44120,61;44132,30;44192,39;44223,69;44253,05;44297,56;
0661000;"Powiat m. Biała Podlaska";;553,8;550,6;544,5;543,5;541,1;593,1;591,1;591,1;591,1;591,6;591,9;592,9;592,9;592,34;592,52;619,63;622,63;624,63;620,63;620,63;620,63;620,63;492,21;912,03;912,03;
